bo_refine _0_-3.0_0.65F
4.089660770452573924e-01 3.574272510617005488e-02
4.017720148799788227e-01 3.604259198092679695e-02
3.945784590214478360e-01 3.632899569823032360e-02
3.873854028519339021e-01 3.660178294507721725e-02
3.801928644196396756e-01 3.686079963446291935e-02
3.730008152608453309e-01 3.710589349990424390e-02
3.658092862786077593e-01 3.733691034510468187e-02
3.586182487526173857e-01 3.755369809632080891e-02
3.514277166091037685e-01 3.775610343413884212e-02
3.442376862001824134e-01 3.794397373237223814e-02
3.370481463317200332e-01 3.811715664937763426e-02
3.298591179515535377e-01 3.827549921596416771e-02
3.226706292767330120e-01 3.841884856480221738e-02
3.154851633718452342e-01 3.854687702132552490e-02
3.083045280265890864e-01 3.865887827728580611e-02
3.011289018348890512e-01 3.875410574991582785e-02
2.939583736322139984e-01 3.883181779511025306e-02
2.867930135219309284e-01 3.889127611742945051e-02
2.796330133927893979e-01 3.893174488957069912e-02
2.724783433303386015e-01 3.895249292843225991e-02
2.653292892892817889e-01 3.895279131809668838e-02
2.581857688654947691e-01 3.893191498912777770e-02
2.510480358406813606e-01 3.888914248267775348e-02
2.439160794816972733e-01 3.882375469358766845e-02
2.367900778351904045e-01 3.873503701843972885e-02
2.296700913519285070e-01 3.862227709671690185e-02
2.225562279425965517e-01 3.848476628680871231e-02
2.154486101426291433e-01 3.832179967206139626e-02
2.083472842156937621e-01 3.813267374670554349e-02
2.012524256141875745e-01 3.791669161596084719e-02
1.941640274905371277e-01 3.767315417639852809e-02
1.870834091170142099e-01 3.740140515717779029e-02
1.800211995376525542e-01 3.710039044217737503e-02
1.729818141468886517e-01 3.676759878027537065e-02
1.659643812892729331e-01 3.640023925212635542e-02
1.589693384262201026e-01 3.599563465046066307e-02
1.519958499717926903e-01 3.555108484057770829e-02
1.450442032900728095e-01 3.506400238745616127e-02
1.381137282141731426e-01 3.453178058198984324e-02
1.312044252920394893e-01 3.395190176695924572e-02
1.243159084927939750e-01 3.332185935577393343e-02
1.174482477815540354e-01 3.263922244146007928e-02
1.106039708652350462e-01 3.190182532659227577e-02
1.037852855782100264e-01 3.110751022457264314e-02
9.699544339879760668e-02 3.025429453675275437e-02
